date,title,text,rating
2023-07-19,Ga jelas bgt ni aplikasi,"Baru juga download udah error aja, padahal mau nonton 911",1
2023-07-13,masalah download,"sangat susah buat download film, kadang lama bgt nge download padahal jaringan bagus, kadang juga download udah mau selesai langsung eror",1
2023-07-07,"Cannot make payment, cannot connect to tv",It’s been a month I cannot make payment or connect to tv. Does anybody know how to fix it?,1
2023-07-07,Cant subscribe,Why i cant subscribe? Its written the product is unavailable,3
2023-06-26,Love the new UI,Ah finally the UI feels smooth and lite love it,5
2023-06-29,the resolution is to bad for 720,720 feel 480 fr and maybe y’all can add 1080 at laptop,2
2023-06-24,Bagus,Sangat membantu sekali,5
2023-06-25,Poor UI UX,Why it is hard to find movies based on their genre. Better to fix the UI UX of this apps,1
2023-06-17,Can't download,Can't download the new version even though I've subscribed?,4
2023-06-17,Bad connections and always buffering,"Since i updated to newest version, it always buffer when i watch movie, my provider conections are good but this app always buffer. why?",1
2023-06-13,Status berlangganan tidak berubah,Paket berlangganan telah di bayar melalui appstore tapi status berlangganan nya tidak berubah masih terdaftar pengguna gratis. Tolong bantuannya,4
2023-06-16,aplikasi loading lama,Please developer aplikasi ini tolong dong di bikin aplikasinya jangan berat banget🙏🏻 lama banget loadingnya cuma nunggu mau buka doang,1
2023-06-09,Gut,"Aplikasinya bagus, kurang nya karena gak bisa langsung connect ke tv",4
2023-06-12,Travelling to other countries not function,"When you travel to another country cannot use it, only based on your country register 👎🏼!",2
2023-06-09,aneh,"udah bayar langganan , di appstore juga udah ada struknya tapi di appnya tetep ga bisa nonton masi pengguna gratis ni kek mana si ga jelas",1
2023-06-02,Uu baru,UI barunya bagus,5
2023-06-09,Bagus cuman minus 1,"Kok reviewnya tuh jelek2 yaaa, padahal bagus2 Aja, cuman Iyaaa minusnya cuman 1 ga bisa di streaming Ke tv Aja",4
2023-06-08,Add feature,please add speed feature in watching,1
2023-06-08,Always log out every day,Always log out every day,2
2023-06-07,Streaming quality unstable,"Kualitas streamingnya tidak stabil, sudah set ke full hd 1080p tapi resolusi tetap naik turun.",1
2023-06-05,Kecewa,"Saya sudah bayar dri paket telkomsel,knpa saya harus berlanggana lagi padahal saya berlangganan melalui nomor paket saya ini gimana sihhhh",1
2023-06-05,Ihuaaa,Cok aku bayar 40 ribu malah disuruh bayar lagi nyinkk,1
2023-06-04,Continue watching bug,"Watched movie stuck at continue watching.
Watch movie till the end, the timer/progress bar says x hour xx minutes left (same with movie length) or xx minues left.

Cannot remove movie from continue watching, the app says removed from continue watching, but in a few seconds it reappears.

Watched series not advancing in continue watching, return to last watched episode.",2
2023-06-04,bad app movie ever!!!,"harusnya semakin di permudah untuk mendapatkan kode otp lewat whatsapp ataupun email bukan malah tetap menggunakan sms yg kodenya tidak masuk saya kali ini bener” kecewa sm apk movie satu ini saya langganan uda setaun tapi masalah kyk gini trs terjadi dan blm ada update sm sekali tolong lah saya juga pake apk apple movie , netflix, prime video tapi masalah kode otp selalu terjadi hanya di disney kenapa ?",1
2023-06-04,Continue watching,List continue watching always appears although it has been deleted many times,3
2023-06-03,Cant play on mibox but able to play on phone using same network,Can you please help? I have been subscribing for 1 year in order to watch on my tv. I am using xiaomi mibox on the living room and on my bedroom. It always says unable to play. I am using balifiber. But I can play it on my mobile phone. Need help,2
2023-06-01,CS Team is awesome,"Customer service-nya gesit dan support.
Pernah bermasalah karena ganti nomor hp, padahal sudah langganan per tahun. Tidak sampai sehari, asal kita juga cepat melakukannya, akun Disney+ bisa digunakan. Mantap. Terima kasih atas pelayanannya yg memuaskan. 👍🏻🙏🏻",5
2023-06-01,Speed Nonton,"Tolong tambahkan speed(kecepatan untuk menonton) bagi orang seperti saya yang suka menonton 2x di Youtube dan 1.5x di netflix. Pada aplikasi ini sangat lama hanya 1x, sehingga habis waktu saya untuk menonton serial yang saya suka",3
2023-05-31,Bagus,Bagus,5
2023-05-23,bringss hotstar🌟🌟🌟,untuk kumpulan film animasi cukup lengkap dan bagus” playlist nya😇😇😇,5
2023-05-31,Code otp,Code otp ga masuk masuk,1
2023-05-21,New Update,"New UI/UX is incridible. Very outstanding update, i really appreciate 👍 Nice work",5
2023-05-23,Wayy to complicated customer services,"Resolve an issue took lots of things— not easy.

I am out..",2
2023-05-20,langganan telkomsel,"udah beli paket combo sakti yg ada langganan disnep+ hotstar nya sebulan, tapi tetap gabisa ditonton, pengaktifan paket nya ga kelar’ niat kerja sama ga si?",2
2023-05-19,OTP,"Koneksi jaringan telepon sangat baik, koneksi internet saya juga sangat baik, tapi OTP nya ga masuk2. Susah bgt mau login!!! Bahkan udah restart hp masih jga ga masuk kode OTP nya. Tolong dong diperbaiki, sekelas Disney hotstar masa iya problem perihal OTP doang!!!",1
2023-05-17,Advice to the developers,"I think you need to recommending your series film to the home page more, likes the mandalorians or anything likes that, so we don’t need to search film",5
2023-05-19,Ga ada kode otp,Saya coba log in tapi ga muncul kode otp ke nomor hp saya,2
2023-05-18,New update so bad :(,"Just updated to the latest version and it says “connection error, looks like you’re connecting through vpn etc.” But I’m not connected to vpn. When I use wifi it doesn’t work anymore, but phone data works. Whyyyyyy?",2
2023-05-17,penambahan fitur,"adain fitur speed 1,5 dong",5
2023-05-16,finally the ui changed,i rlly love the new ui,5
2023-05-13,Kereen,Kualitas gambar bagus,5
2023-05-16,error,kenapa error terus ya? nggak bisa di putar filmnya padahal sudah berlangganan 🙂,3
2023-05-16,IMAX,Tambahkan film yang menggunakan IMAX seperti film Marvel.,4
2023-05-15,I cant change mobile number. I emailed them but they took long time to reply,Why do we need mobile phone number for an account instead of email? It’s easier for us to use email. I traveled a lot and I had to put on simcard when I want to log in to my disney. Please make it easy for us to access our account.,1
2023-05-14,suara hilang & gambar tidak HD,"gambarnya suka gak hd padahal internet mantap, suara suka ilang gajelas bgt",3
2023-05-13,not working on external display,this pc organization intentionally makes this apps not working on external display!,1
2023-05-09,Biaya naik,Makin mahal dong biaya langganannya,5
2023-05-10,BAYAR!!,kok malah minta bayar kan netflix bagus  ga bayar Jangan Bayar!!,1
2023-05-09,Kebanyakan Konten LGBT dan dewasa,No sensor ga baik untuk anak2 tidak sesuai judulnya disney,1
2023-05-06,ga ada kode OTP,Ini kenapa ga ada kode OTP nya berkali kali nyoba padahal no hp fine” aja tolong dong susah mau nonton padahal udah berlangganan masa iya ga bisa login rugi dong,3
2023-05-07,komentar,pemutaran vidio nya kok bermasalah,2
2023-05-03,Erorr,Kenapa ini sekarang saya mau nonton tidak bisa  malah eror padahal saya sudah berlangganan selama setahun tpi knp begini?,2
2023-05-05,The otp,Don’t receieve the OTP. I already check my phone number is corret it’s so annoying,1
2023-05-04,Ga dapet otp,Kok sy Ga dapet otp sih udh berkali2 coba. pdhl app lain bisa dpt otp. app ga guna.,1
2023-05-03,Problem logging in,"I have paid an annual plan subscription but every time i want to watch movie, a menu of payment appears. Logging out and back logging in doesn’t work. Restoring subscription doesn’t work either. What should I do?",1
2023-04-11,Review,"Woww mantapp , filmnya lengkap dan biaya layanan tidak mahal 🤩",5
2023-05-03,Kode OTP,Saya mau daftar dan berlangganan tapi kenapa saat memasukkan nomor HP tidak mendapat kode OTP baik sms atau telp,1
2023-05-01,Can not play the movies,Can not play the movies  even already subscreation,4
2023-04-30,Cancel sub,"Aplikasiii woii, batalin langganan aja susahh joh",1
2023-04-30,subtitle bisa lebih gede gak yaa,kalau nonton di laptop atau smart tv subtitlenya kecil sekali.. mengancam kebutaan ya kan.. tolong dibesarkan dong sewajarnyaa jangan terlalu kecil,2
2023-04-29,Okay app but...,Interface can be better but the most annoying part is the automatic play of next movie without any permission.,3
2023-04-28,Improve yang wajib,Tidak ada dark mode segera dibuat dan untuk downloadnya dibuat perseries sehingga tidak susah mendownload satu persatu,4
2023-04-21,Kode OTP tidak muncul,Mau login aja susah banget sih. Udah berlangganan giliran mau login tapi kode OTPnya gak dikirim2. Udah coba restart hp tetap aja gak ngaruh. Coba via call gak ada juga panggilan masuk. Balikin 20rb gue sini!,2
2023-04-19,Not conected,Ga bisa dibuka sama sekali. Jadi males beli aplikasi ini. Padahal rekomended buat keluarga banget,1
2023-04-19,bugs,Bugs Solved.,4
2023-04-19,Paraah,"Parah.. udah berlangganan, eh malah gak bisa buka dari TV.. payah",1
2023-04-16,bad server,"improve your bad server, disney!",1
2023-04-16,knp hrus byr,apakah ini harus berbayar?,2
2023-04-14,let me login,"can't login on my tablet because of the OTP. if only the login option was also available for email, that would be good since I'm using wifi only iPad. installing this app is useless if I can't even 
login",2
2023-03-31,Need parental control lock,"Hi, please add feature to password lock kids mode. No point in having kids mode but your kids can easily switch it back to normal mode",3
2023-04-09,GAK BISA BERLANGGANAN,Sudah beli paket disney+ hotstar dri telkomsel saldo udah kepotong malah nggak bisa aktif padahal waktu itu langsung bisa. TOLONG DIPERBAIKI & KEMBALIKAN UANG SAYA!,1
2023-04-05,Aplikasi sampah,"Video yg udah di download malah gak bisa di putar ngabisinn kuota aja bangkee2, gak guna sumpah",1
2023-04-03,Kacau,Mau login pas mau nnton ke tv minta kode otp tapi ga muncul” trus mana udh langganan 1 taun lgi,1
2023-04-03,Tidak menerima kode OTP,Sudah coba berkali kali masih ga dapetin kode OTO. Sampe pake beberapa nomer pun juga sama,1
2023-03-30,it's too dark,"the movies was too dark, but sometimes it brighter itself, but mostly its darker. idc about HDR, i just want to watch movies with good quality and BRIGHTER SCREEN",2
2023-03-11,Super Amazing,You can add 1080 for great quality,5
2023-03-29,no dark mode,add dark mode will be nice touch,3
2023-03-28,kualitas,"kualitasnya padahal sudah hd tapi kenapa masih buram, dan film nya juga tidak terlalu banyak",2
2023-03-21,OTP Gagal,"Sudah mau habis bulan ini dikasih solusi coba berkala , tapi OTP tidak pernah masuk , disalahin nomor atau device kita. Padahal OTP App lain aman saja . 
Auto Unsubscribe for a long time and definitely all the humans I’ve ever  met must listen to my bad experience use this App.",1
2023-03-21,Ga dapat otp,"Otp ga bisa masuk, pakai via call juga gabisa",1
2023-03-18,Kendala,Sudah bayar dan beli paketan di telkomsel gabisa nonton,1
2023-03-17,buffer terus tiap nonton,"jelek banget jangan langganan kapok, koneksi pdhal lancar banget tp tiap nonton buffer terus, jalan 2menit buffer 10menit. nonton 1 episode 30menit bisa kelar dalam 3jam lebih keterlaluan sih. jd males nontonnya.",1
2023-03-16,No dark mode??,"Come on, it’s 2023 and disney doesn’t have dark mode. Also pkease work on your data transmission, it’s so annoying to get buffer or endless loading while watching!",2
2023-03-16,Radha Krishna,Kenapa ga bisa buat nonton radha krishna yaa? Mau nonton harus sesuai sama negara nya kah? Tolong tingkatkan lagi supaya bisa nonton film dari semua negara🙏🏻,4
2023-03-14,Subscribe error,I already paid the subscription but it doesn’t let me watch even a single video. I paid with mobile connection and that’s By.U.,1
2023-03-12,Sudah bayar tidak bisa login,Sudah bayar nggk bisa login,1
2023-03-12,Gabisa masuk,Saya mau beli pas masuk pakai nomor hp tapi gabisa,1
2023-03-04,tidak bisa login,"pakai nomer lain bisa masuk, sedangkan nmr saya sendiri tidak bisa masuk. buat dapetin kode otpnya susah banget",3
2023-03-11,Langganan dengan indihome,"Sudah langganan jalan 6 bulan, mau login di perangkat lain ga bisa. Kode otp tidak respon, tidak ada sms masuk.. via call jg tidak bisa. Ada apa ini? Apakah sudah berhenti kerjasama dgn telkom?",1
2023-03-09,Cant Loggin,"Mau Login aja susah ngga masuk"" kode OTP nya",1
2023-03-05,Problem to log in,"I have problem to connect my account to my Tv, from TV monitor the app told me to go to hotstar website and then enter the code that shows on the screen, but it turns out I can not access the website because I was automatically diverted to the mobile app. When I tried to access the website through my laptop I have to input my phone number and I haven’t received any OTP codes after that. It was making me very frustrated, I will think again to extend my subscription if you can not fix this.",1
2023-03-04,Bad quality,kenapa tidak bisa dark mode di ios? mata saya sakit liat interface nya kecerahan,1
2023-03-02,"Cannot activate, took a very long time","I bought the disney+ package from My Telkomsel app and when I logged in with same number, the disney+ app keep asking me to subscribe whenever I want to watch movies even though I already subscribing. Please fix, I spent money to subscribe this app but I can’t use it. Also, the OTP number often cost so much time to send to my number.",2
2023-03-02,Can’t login in my phone and TV,Yesterday i was purchased for one year and right now I can’t login in my phone and my tv. Very bad apps you should learn from other streaming apps that easily connect phone or tv. Really wish I didn’t susbscribed the package yesterday,1
2023-03-02,Dark them for ios!,"Don’t just remake all movie dark, give the dark them to ios app",1
2023-03-01,bug,"setelah update malah jadi sering error, tolong segera di perbaiki ajalah biar lebih nyaman pengguna",3
2023-03-01,Log in using phone number,Susah bgt log in pke no hp anjir kalo mau celar history log in code ga muncul. Mending lu pake email & pass aja deh anjir,2
2023-02-26,buffer,"tolonggg ini kita g bisa nnton klau ngebuff terus. kita butuh 1080 p bukan “upto” sumpah lebih baik pkai aplikasi sebelah klau gini jelek banget ya Allah nyesel banget langganan. kesel banget aku lagi nnton ngebuff mana pas klimaksnya lagi, jadi g bisa ngikutin alurnya!!! X<",2
2023-03-01,Tidak fleksibel,"Sangat mengecewakan untuk aplikasi ini, padahal cuma ingin menonton saja sulit. Memang posisi saya tidak diindonesia tapi kenapa begitu sulit untuk mengakses D+? Jika memakai VPN tidak diperbolehkan, sebegitunya kah Disney+ Hotstar?",1
2023-02-27,"Good content, if you can get to it","Have the breadth of content that tied with disney. 

The software itself needs a major overhaul 2 years ago. MS-DOS had better UI before Microsoft Windows was a thing. 

The kindest thing for front-end (and, honestly, back-end) that can be said is that it’s made on a budget, and/or undermanned, and/or interns, and/or by the lowest bidder.",1
2023-02-25,there is no radha krishna here,"sengaja berlangganan biar bisa nonton radha krishna, ternyata gda sia sia berlangganan",2
2023-02-19,Aplikasi bug,"Film nya bagus2, tapi aplikasinya jelek Banyak bug Mo masuk di iphone error mulu Mo masuk di googletv sama error mulu Cek google banyak banget kode errornya",2
2023-02-21,Ini ada apa,"Sudah bayar , sedang nonton , tau2 log out gak bisa log in… udh log in minta bayar  tsu2 log out gak bisa log in kode gak dapet!😤 tolong jelasin",1
2023-02-18,Complaint,"Is there a solution why since yesterday I can't open the app and it always shows ""something went wrong, please try again sometime"" even though the subscription period is still active until next month, I have also submitted my complaint on the official Twitter and IG accounts but no response at all once, please don't be like this",2
2023-02-18,Cant watch movie,"Always show mssg like this

Playback Error
Error playing this content due to
DRM issues. Please try again.
(Error: 0973)",1
2023-02-18,J,Gak bisa di akses tolong perbaiki,2
2023-02-18,Eror,Kenap dari kemarin eror teruss gk bisa dibuka?????,1
2023-02-18,gabisa dibuka :(,kok aplikasinya gabisa dibuka ya?,1
2023-02-18,OTP,"Tolong tambahkan fitur untuk OTP bisa dikirm via SMS atau Telpon, jngn hanya via whatsapp terima kasih",1
2023-02-18,Oops!,"Hello, why my disney hotstar application can’t open? Since a few days ago.. it always said SOMETHING WENT WRONG, PLEASE TRY AGAIN IN SOMETIME.. please fix it.. thank you",1
2023-02-18,Broken app,I already paid for 12 months just been watching for several days and now couldn’t use this app anymore they said “something went wrong” ! Now i want my money back!! This app is broken!,1
2023-02-18,gagal buka app,kena apa tidak bisa buka app nya nih padahal sudah berangan paket 1 tahun,1
2023-02-18,Tidak bisa dibuka,"Beberapa hari tidak bisa dibuka sama sekali
Sudah uninstall/install tetap saja",1
2023-02-18,Cannot open the app!!!,Oops! Something went wrong. Please try again in sometime.  I had that since few days! Tried delete and download! Same result!!!! What to do??? I already paid the membership!!!!,1
2023-02-18,Bad,"Aplikasi tolol, tidak bisa d buka selalu crash",1
2023-02-17,Lagi trouble kah?,Saya sangat menikmati aplikasi ini dan kontennya. Tapi semenjak kemarin malam kenapa saya tidak bisa masuk aplikasi. Selalu muncul tulisan layar error dan tidak bisa masuk ke aplikasi,5
2023-02-18,Very very bad app,Been using this app for 1 in my ipad pro month and already paid for 1 year now i couldn’t watch anymore they said “something went wrong”. Pls give my money backkkkkk ! Such a really bad app,1
2023-02-18,Can't access,"Can't access with notification ""Something went wrong"" after that stupid livestream event at 17th February 2023, already uninstall and install but nothing happens, it's been almost 24 hours but they still can't fix this issue, stupid",1
2023-02-18,Error,Tidak bisa dibuka,2
2023-02-18,Error,Dari kemarin error mulu gak bisa dibuka,1
2023-02-17,Hasil download gabisa diliat,"Pas awal” make ini bagus banget, tp makin sini ko jd aga turun si, masa film yg di download gabisa ditonton :” pdhl sinyal bagus, trs iseng coba pake wifi sama aja",4
2023-02-17,😡,Kenapa sekarang buat redmi note 9 ngga bisa buat ip 11 juga ngga bisa hadeh,1
2023-02-17,9hrs and counting,The app is not working today since 3pm-ish Jakarta time. Help center advises to uninstall and reinstall. Have done it. No progress. Still not working. I am using iphone 7 telkomsel for connection. Please resolve this. It’s been 9 hrs.,3
2023-02-17,Aplikasi,"Aplikasinya ngestuck
Websitenya jg gamau itu kenapa ya",3
2023-02-17,Habis update tidak tidak bisa masuk,Kenapa habis update tidak bisa masuk sama sekali… kecewa jadinya,1
2023-02-17,9 hours outtage,9 hours outtage so far without any communication in their socials informing subscribers whatsoever.  We have to find out via twitter hashtag and o boy the conments are fun.,1
2023-02-17,Cant be used,"Just installed for few hours then cant be used, I already paid for 1 month, why?any solution?",3
2023-02-17,Aplikasi eror,Kok tidak bisa di bukak ada apa dengan aplikasi ini ?,1
2023-02-17,Something went wrong please try again in sometime,Kenapa selalu muncul beginian anjir,1
2023-02-17,Tidak bisa dibuka,Kenapa aplikasinya tertulis something wrong diulang berkali kali tetap sama tidak bisa terbuka padahal sy sdh bayar buat setahun,2
2023-02-17,gk bisa dbuka di iphone xr,knp update an trbaru tidak bisa dbuka,1
2023-02-17,:),Mengapa aplikasinya error padahal sudah berlangganan :(,1
2023-02-17,kok gabisa di buka sih ini,gabisa,2
2023-02-17,Buruk,Kenapa setelah saya bayar biaya berlangganan aplikasi nya langsung error dan selalu ada warning try again later. Ini kenapa jadi gini? Saya coba berulang kali ngga ada perubahan sampai di update aplikasi nya pun tetap muncul peringatan yang sama.,1
2023-02-17,Updated but error,Duhhhh updated but cannot play the movie,1
2023-02-16,Just give me speechless,Gs,5
2023-02-17,something went wrong please try again,something went wrong please try again tolong solusinya,1
2023-02-09,❤️❤️😻😻,"Kereenn, asli",5
2023-02-11,No Dark Mode,"Super simple feature , they just so lazy",1
2023-02-09,Auto downloading,"Need to add auto download off option.. this ""must"" be an option to choose",1
2023-02-08,tidak menerima kode login verifikasi,tidak dapat kode sms dari no hp yang saya login,5
2023-01-16,top,jozz,5
2023-02-07,buffering teruss,"gajelass ni gapernah lancarr pas muter video nya padahal jaringan internet aman aman aja nonton netflix lancarr aja gada pernah buffering jelek sekali,menyesal subscribe.",1
2023-02-05,Horrible download function,"I was downloading a movie until it was 84% completed, then the next time I opened the app it went back to 40%. Then I closed the app and opened it again to try and see if it can recover the previous progress, it went back to 0%. Thanks Disney for draining my roaming internet quota!",1
2023-02-04,Disapointed!,"I used to have it as the easiest way to cast to my samsung smart tv but now, it said both my STB and samsung tv is not supported. Whatttt????",1
2023-01-30,Age settings,"Please add age settings so when we watch movie/show that have a mature content warning, we don’t have to confirm our age everytime. Please, it’s annoying especially when you are watching a show, going back and forth just doing this every episode. Let us relax and enjoy without doing this ever. Thank you",3
2023-01-29,Playback eror,Ini ganggu banget loh gini terus. Payah!!!!!,1
2023-01-28,"Cant connet to tv, player sound is too low, no subtittle","Overall very good, but i have concern for 3 point :

1. I playing in ipad and then i share to my tv cant to play, if i used netflix no problem.

2. If i watching movie or series , for player sound too low, overpower the background sound.

3. If i watching indinesia movie or series, why no subtittle bahasa? Its very useful.",2
2023-01-25,gak bisa login >:(,"sy coba login disney di pc tapi gak bisa bisa dari kemarin, kirim kode otp nya gak bisa bisa, telpon juga gak bisa, tolong perbaiki segera",1
2023-01-23,OTP dari nomor gajelas,"masa dapet otp dari nomor random di w, serem banget. terus udah login gamasuk lagi. what a shame disney!",1
2023-01-21,Ngestuck,Ngestuck di halaman awal. Buruk. Tidak bisa pakai,1
2023-01-21,Why always buffferinng?,"Koneksi internet dirumah saya lancar, test speed up to 30 Mbps, tapi saat live stream buffering mulu. Padahal saya pakai Netflix gapernah buffering sama sekali.. Servernya ko jelek ya??",1
2023-01-20,WHERE?,"Where is Spiderman far from home? Tolong lah jangan nanggung-nanggung, masa iya ada Homecoming tapi far from home sama no way home gaada?. Hadeh kelakuan.",3
2023-01-19,Add Movies,"Literary Would save money, btw your lucky your getting 4 stars. Well hope you Reply!",4
2023-01-18,Audio double,"Filmnya bagus2. Namun sygnya, ketika saya pindah app sbntr lalu kembali lg ke disney hotstar, audionya langsung double. Maksud double itu adalah suara scene yg sudah lewat, keluar bersamaan dengan scene yang sedang berjalan. Dengan demikian, saya harus refresh app terus menerus agar audio tidak double. Tolong dibetulkan ya disney hotstar. Thanks",4
2023-01-05,Avatar,Apakah udah ada flim avatar the way of water?,5
2023-01-14,For LG smart tv,Tolong di buat juga agar bisa di donload buat LG smart tv,4
2023-01-12,Burik,Aplikasi cacat,1
2023-01-12,Error DRM,I don’t get it but i often face DRM error issue. And can’t play it on my tv as well when the error  is there. Also downloading the movie is not a solution as well.,1
2023-01-12,Parah!!,Subtitle sering ga sinkron. Kualitas gambar sering tiba-tiba turun.. Tiba-tiba buffering melulu padahal internet lancar. Ternyata sudah ada keluhan dari review beberapa tahun lalu. Kok ga ada perubahan? Bikin apps buat samsung smart TV dong. Masa nonton mesti dari web terus,1
2023-01-08,Pb474 error for VPN but I don’t use any VPN,Since 2 weeks cannot access Disney Hotstar due to pb474 error. No support at all how to resolve it. Please refund my subscription money and cancel the plan.,1
2023-01-01,film,sudah berlangganan gak bisa di play gak jelas,1
2023-12-11,MORE UPDATES ANIME,MORE ANIME SERIES SEASON,2
2023-10-24,BOYCOTT DISNEY,BOYCOTT DISNEY,1
2025-02-15,Bad,THE APP JUST LOGGING ME OUT AND I TRIED GUESSING MY CODE 3 TIMES AND I CANNOT ENTER MY ACCONT!,1
2025-02-12,buruk setan,BABIII JELEK SKLI ADA PAKET DISNEY TAPI TIDAK BISA DI PAKAI NONTON,1
2025-01-20,KOCAK,"LUCU BANGET DISNEY, OTP SUSAH BANGET MUNCUL",1
2023-11-27,yahudi,YAHUDI,1
2023-11-25,Boycot,"Go to hell , you kill many children in palestine , shame on you 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮",1
2023-11-14,PRO ISRAEL,BERTAHUN TAHUN MENGHIBUR ANAK ANAK SEKARANG MALAH TERANG TERANGAN KASIH BANTUAN KE ISRAEL. GUE GABAKAL MAU LAGI NONTON DI APLIKASI INI . APLIKASI PEMBUNUH !!!,1
2023-10-05,KESELL,KO GABISA DI BUKAA APK NYAAA,1
2023-05-14,OTP,"SUSAH SEKALI DAPET OTP PADAHAL UDAH DI COBA TERUS, RUGI DAH LANGGANAN",1
2023-02-11,Ok,O,5
2023-05-13,OTP when OTP when OTP,"Helloo, OTP code hereeeeeeee ? Where are you ? Are u lost in indonesia",1
2025-04-06,Customer Service,Very Helpful,5
2025-04-06,worst,"sering bgt muncul notif ""too many account using ur account"" jd ga bs play movie. padahaln yg pake akun cm gue dan yg login cm gue. rusak bgt aplikasinya",1
